SeqName,CAS1_C0,CAS2_C0,CAS3_C0,CAS1_T0,CAS2_T0,CAS3_T0
TRINITY_DN101223_c0_g1,0,0,0,0,0,0
TRINITY_DN101227_c0_g1,0,0,0,0,0,0
TRINITY_DN101227_c0_g2,0,0,0,0,0,0
TRINITY_DN101228_c0_g1,0,0,0,0,0,0
TRINITY_DN10122_c0_g1,183.05,135.81,225.94,66.94,80.08,292.07
TRINITY_DN101232_c0_g1,0,0,0,0,0,0
TRINITY_DN101233_c0_g1,0,0,0,0,0,0
TRINITY_DN101237_c0_g1,1.33,0,0,0,0,1.25
TRINITY_DN101237_c0_g2,1.24,2.3,9.43,3.68,1.22,10.92
TRINITY_DN10123_c0_g1,0,0,0,0,0,0
TRINITY_DN101241_c0_g1,0,0,0,0,0,0
TRINITY_DN101245_c0_g1,0,0.3,0.67,0,0,0.36
TRINITY_DN101246_c0_g1,0,0,0,4.51,0,0
TRINITY_DN101248_c0_g1,0,0,0,0,0,0
TRINITY_DN101248_c0_g2,2.66,2.4,0,12.7,0,2.51
TRINITY_DN101250_c0_g1,0,0,0,0.95,1,0.89
TRINITY_DN101252_c0_g1,0,3.2,0,0,0,0
TRINITY_DN101254_c0_g1,31.68,0,0,17.92,5.92,35.7
TRINITY_DN101255_c0_g1,0,0,0,0,0,0
TRINITY_DN101258_c0_g1,0,0,0,0,0,0
TRINITY_DN10125_c0_g1,30.83,27.96,37.63,41.66,12.17,84.83
TRINITY_DN10125_c0_g2,0.57,9.09,5.09,4.27,1.05,1.61
TRINITY_DN10125_c0_g3,49.09,114.94,76.84,37.92,73.06,119.37
TRINITY_DN101261_c0_g1,0,0,0,0,0,0
TRINITY_DN101264_c0_g1,0.38,0,0,0,0.88,0
TRINITY_DN101266_c0_g1,0,0,0,0,0,0
TRINITY_DN10126_c0_g1,2.19,12.18,11.43,1.54,5.31,10.11
TRINITY_DN101271_c0_g1,0,0,0,0,0,0
TRINITY_DN101277_c0_g1,0,0,0,0,0,0
TRINITY_DN101279_c0_g1,0,0,7.01,2.14,0,3.49
TRINITY_DN10127_c0_g1,13.8,28.96,0,0,24.83,17
TRINITY_DN101281_c0_g1,0,0,0,0,0,0
TRINITY_DN101283_c0_g1,0,0,0,0,0,0
TRINITY_DN101287_c0_g1,0,0,0,0,0,0
TRINITY_DN101298_c0_g2,0,0,0,0,0,0
TRINITY_DN10129_c0_g1,2.76,0,0,0,2.54,0
TRINITY_DN1012_c0_g2,580.65,94.27,52.98,186.89,142.46,128.86
TRINITY_DN101302_c0_g1,0,0,0,0,0,0
TRINITY_DN10130_c0_g1,17.32,3.59,37.96,5.52,1.99,29.98
TRINITY_DN101311_c0_g1,0,0,0,0,0,0
TRINITY_DN101313_c0_g1,19.31,0,0,0,0,0
TRINITY_DN101315_c0_g1,0,0,0,0,0,0
TRINITY_DN101318_c0_g1,0,0,0,0,0,0
TRINITY_DN10131_c0_g1,33.11,36.45,23.2,25.7,20.91,28.28
TRINITY_DN101322_c0_g1,0.95,0,0,0,0,0.89
TRINITY_DN101324_c0_g1,12.75,19.87,0,2.91,14.93,13.78
TRINITY_DN101326_c0_g1,0,0,0,0,0,0
TRINITY_DN10132_c0_g1,10.09,7.89,5.26,0,12.22,10.83
TRINITY_DN101338_c0_g1,0,0,0,0,0,0
TRINITY_DN101339_c0_g1,0,0,0,0,0,1.7
TRINITY_DN101345_c1_g1,0,0,0,0,0,0
TRINITY_DN10134_c0_g1,35.01,63.71,23.7,62.85,23.67,31.23
TRINITY_DN10134_c1_g1,0,0,0,0,0,0
TRINITY_DN101350_c0_g1,0,0,0,0,0,0
TRINITY_DN101351_c0_g1,0,12.78,2.59,0,2.65,5.28
TRINITY_DN101353_c0_g1,0,0,0,0,0,0
TRINITY_DN101353_c1_g1,0,0,4.09,4.33,0,0
TRINITY_DN101353_c2_g1,0,2.4,0,0,7.41,0
TRINITY_DN10135_c0_g1,62.13,42.04,59.99,14.66,26.77,73.11
TRINITY_DN101368_c0_g1,0,0,0,0,0,0
TRINITY_DN101368_c0_g2,0,0,0,0,0,0
TRINITY_DN10136_c0_g1,5.14,7.99,11.1,3.03,3.54,3.58
TRINITY_DN10136_c0_g2,88.67,269.32,366.12,300.54,166.3,436.95
TRINITY_DN10137_c0_g2,0,1.4,0,0,0,1.43
TRINITY_DN101381_c0_g1,0,0,0,0,4.48,0
TRINITY_DN101383_c0_g1,0,0,0,0,0,0
TRINITY_DN101387_c0_g2,0,3.5,0,0,0,0
TRINITY_DN10138_c0_g1,235.38,260.13,163.7,165.64,176.09,194.72
TRINITY_DN101392_c0_g1,0,0,0,0,0,0
TRINITY_DN101395_c0_g1,0,0,0,0,0,0
TRINITY_DN101397_c0_g1,9.7,3.5,7.09,0,5.53,3.67
TRINITY_DN10139_c0_g1,668.18,254.84,113.06,278.4,167.24,180.58
TRINITY_DN10139_c0_g2,7.52,18.77,44.97,8.55,6.19,45.1
TRINITY_DN1013_c1_g1,104.28,63.71,22.53,46.11,71.56,43.49
TRINITY_DN101402_c0_g1,0,0,0,0,0,0
TRINITY_DN101405_c0_g1,0,0,0,0,0,0
TRINITY_DN101407_c0_g2,0,0,0,0,0,0
TRINITY_DN101408_c0_g1,0,0,0,0,0,0
TRINITY_DN101409_c0_g1,0,0,0,0,0,0
TRINITY_DN10140_c0_g1,21.6,0.5,2.5,8.49,1.55,0
TRINITY_DN101418_c0_g1,0,0,0,0,0,0
TRINITY_DN10141_c0_g1,0,0,0,0,0,0
TRINITY_DN101422_c0_g1,0,0,0,0,0,0
TRINITY_DN101422_c0_g2,0,0,0,0,0,0
TRINITY_DN101424_c0_g1,0,0,0,0,0,0
TRINITY_DN101428_c0_g1,0,0,0,0,0,0
TRINITY_DN101429_c0_g1,0,0,0,0,0,0
TRINITY_DN101432_c0_g1,0,0,0,0,0,0
TRINITY_DN101437_c0_g1,11.42,9.89,1.08,2.31,11.39,2.86
TRINITY_DN10143_c0_g1,3297.52,2508.75,1355.66,849.1,2108.43,2359.23
TRINITY_DN10143_c1_g1,260.78,168.56,66.83,116.98,101.82,125.37
TRINITY_DN101440_c0_g1,0,0,0,0,0,0
TRINITY_DN101440_c0_g2,0,0,0,0,0,0
TRINITY_DN101443_c0_g1,0,0,0,0,0,0
TRINITY_DN101447_c0_g1,7.04,11.58,3.59,4.69,8.68,10.74
TRINITY_DN101448_c0_g1,0,0,0,0,0,0
TRINITY_DN10144_c1_g1,0,0,1.92,1.01,0,0
TRINITY_DN101453_c0_g1,0,0,0,0,0,0
TRINITY_DN101455_c0_g1,0,5.29,0,3.74,0,0
TRINITY_DN10145_c0_g1,2.09,0,0,0,0,0
TRINITY_DN10145_c1_g1,484.27,96.56,26.12,119.47,87.49,42.59
TRINITY_DN101460_c0_g1,0,0,0,0,0,0
TRINITY_DN10146_c0_g1,42.15,55.12,11.85,20.06,21.85,13.33
TRINITY_DN101471_c0_g1,0,0,0,0,0,0
TRINITY_DN101473_c0_g1,0,0,0,0,0,0
TRINITY_DN10147_c0_g2,8.85,0,50.98,9.44,0,18.7
TRINITY_DN10147_c0_g3,8.75,15.88,0,0,0,0
TRINITY_DN10147_c0_g4,31.87,0,3.75,11.81,0,27.83
TRINITY_DN101487_c0_g1,0,0,0,0,0,0
TRINITY_DN101489_c0_g1,0,0,0,0,0,0
TRINITY_DN10148_c0_g1,0.86,0.8,3.34,1.72,0,8.77
TRINITY_DN101493_c0_g1,0,0,0,0,0,0
TRINITY_DN101494_c0_g1,0,0,0,18.28,0,0
TRINITY_DN101498_c0_g1,0,0,0,0,0,0
TRINITY_DN10149_c0_g1,63.84,19.37,9.6,20.12,24.83,24.97
TRINITY_DN1014_c0_g1,0,4.29,1.42,0,1.44,3.85
TRINITY_DN101505_c0_g1,0,0,0,0,0,0
TRINITY_DN101513_c0_g1,0,0,0,0,0,0
TRINITY_DN101517_c0_g1,0,0,0,0,0,0
TRINITY_DN101518_c0_g1,0,0,0,0,0,0
TRINITY_DN101523_c1_g1,0,0,7.09,15.02,0,7.52
TRINITY_DN101527_c0_g2,0,0,0,0,0,0
TRINITY_DN101528_c0_g1,31.68,8.89,0,7,13.77,4.56
TRINITY_DN101534_c0_g1,0,0,0,0,0,0
TRINITY_DN10153_c0_g1,9.99,12.68,25.61,0,11.28,18.79
TRINITY_DN101544_c0_g1,0,0,0,0,0,0
TRINITY_DN101547_c0_g1,0,0,0,0,0,0
TRINITY_DN101548_c0_g1,0,0,2.59,0,0,0
TRINITY_DN101549_c0_g1,0,0,0,0,0,0
TRINITY_DN101549_c0_g2,0,0,0,0,0,0
TRINITY_DN101555_c0_g1,0,0,0,0,0,0
TRINITY_DN10155_c0_g1,0,0,0,0,0,0
TRINITY_DN101564_c0_g1,7.71,6.29,0,1.66,6.53,3.85
TRINITY_DN10156_c0_g1,2.38,0,2.25,0.47,0.44,0.45
TRINITY_DN101575_c0_g1,0,0,0,0,0,0
TRINITY_DN10157_c0_g1,536.03,208.8,269.66,205.64,145.01,289.93
TRINITY_DN10157_c1_g1,0,0,0,1.72,0,0
TRINITY_DN101581_c0_g1,0,0,0,0,0,0
TRINITY_DN101583_c0_g1,0,0,0,0,0,0
TRINITY_DN10159_c0_g1,0,0,0,0,0,0
TRINITY_DN1015_c0_g1,320.34,105.85,172.46,84.57,77.65,162.59
TRINITY_DN1015_c0_g2,143.47,82.68,51.48,51.51,67.36,83.85
TRINITY_DN1015_c0_g3,268.97,177.05,129.08,115.31,128.53,127.6
TRINITY_DN1015_c1_g1,44.15,20.27,31.87,29.85,26.21,43.76
TRINITY_DN1015_c3_g1,0,19.87,3.34,4.33,2.6,24.88
TRINITY_DN101604_c0_g1,0,0,0,0,0,0
TRINITY_DN101605_c0_g1,0,0,0,0,0,0
TRINITY_DN101611_c0_g1,0,0,0,0,0,0
TRINITY_DN101612_c0_g1,4.28,0,0,0,0,0
TRINITY_DN101626_c0_g1,0,0,0,0,0,0
TRINITY_DN10162_c0_g1,808.04,872.87,1137.98,319.41,412.02,854.21
TRINITY_DN10162_c1_g1,0,0,0,0,0,0
TRINITY_DN101630_c0_g1,0,0,0,0,0,0
TRINITY_DN101642_c0_g2,0,0,0,0,0,0
TRINITY_DN101646_c0_g1,0,0,0,0,0,0
TRINITY_DN101647_c0_g1,0,0,0,0,0,0
TRINITY_DN10164_c0_g1,3.14,10.09,6.59,12.34,5.42,9.49
TRINITY_DN10164_c1_g1,0,0,0,0,0,0
TRINITY_DN10164_c1_g2,0,0,0,0,0,0
TRINITY_DN10165_c0_g1,0,0,0,0,0,0
TRINITY_DN101667_c0_g1,0,0,0,0,0,0
TRINITY_DN101668_c0_g1,0,0,0,0,0,0
TRINITY_DN101669_c0_g1,0,0,0,0,0,0
TRINITY_DN101672_c0_g1,0,0,0,0,0,0
TRINITY_DN101673_c0_g1,0,0,0,0,0,0
TRINITY_DN101677_c0_g1,11.42,5.19,0,0,0,2.68
TRINITY_DN1016_c0_g1,5.8,0.7,0.75,1.19,0.77,0.81
TRINITY_DN101700_c0_g1,0,0,0,0,0,0
TRINITY_DN101705_c0_g1,0,0,0,0,0,0
TRINITY_DN101709_c0_g1,0,41.24,0.92,1.96,30.25,0
TRINITY_DN10170_c0_g1,0.95,0,0,0,0,0
TRINITY_DN101715_c0_g1,0,0,0,0,0,0
TRINITY_DN10171_c0_g1,7.52,0.7,0,0,1.6,0.36
TRINITY_DN10171_c1_g1,0,0,0,0,0,0
TRINITY_DN101725_c0_g1,0,5.19,0,0,0,0
TRINITY_DN101727_c0_g1,0,0,0,0,0,0
