SeqName,CAS1_C0,CAS2_C0,CAS3_C0,LOP1_C0,LOP2_C0,LOP5_C0
TRINITY_DN100974_c0_g1,0,0,0,0,0,0
TRINITY_DN10098_c0_g1,858.28,1029.04,238.04,259.03,358.35,1283.53
TRINITY_DN100999_c0_g1,4.09,4.59,22.03,0,0,9.87
TRINITY_DN1009_c0_g1,285.81,202.81,151.6,102.45,247.48,223.81
TRINITY_DN100_c0_g1,51.76,23.37,20.61,15.62,36.31,75.01
TRINITY_DN100_c0_g2,78.21,112.44,96.7,28.71,63.46,67.78
TRINITY_DN101007_c0_g1,0,0,0,0,3.62,10.6
TRINITY_DN101009_c0_g1,0,0,0,0,0,0.55
TRINITY_DN101019_c0_g1,0,0,0,0,0,0
TRINITY_DN10101_c0_g1,28.64,23.27,19.94,19.05,18.39,22.8
TRINITY_DN101021_c0_g1,0,0,0,0,0,0
TRINITY_DN101035_c0_g1,0.57,0,0,0,0.53,0
TRINITY_DN10104_c0_g1,157.56,72.7,43.47,24.51,146.19,87.94
TRINITY_DN10105_c0_g1,2.85,1.3,0,476.12,0,1.78
TRINITY_DN101074_c0_g1,0,0,0,0,0,3
TRINITY_DN101092_c0_g1,0,2.1,6.26,4.62,0,0
TRINITY_DN1010_c0_g1,2.47,9.89,0,5495.39,3.62,9.44
TRINITY_DN101100_c0_g1,2.95,5.39,0,0,0,0
TRINITY_DN101101_c1_g1,0,13.18,0,0,0,0
TRINITY_DN10111_c0_g1,0,0,0,0,0,2.7
TRINITY_DN101128_c0_g1,1.71,9.39,0,1.75,1.69,3.31
TRINITY_DN10112_c0_g1,88.01,85.78,100.21,80.04,73.8,95.85
TRINITY_DN10112_c6_g1,98.85,24.27,19.11,30.25,60.08,82.12
TRINITY_DN101133_c0_g1,13.13,3,6.01,0,3.21,0
TRINITY_DN101133_c0_g3,0,0,0,5.95,0,0
TRINITY_DN101137_c0_g1,0,0,0,0,0,0
TRINITY_DN10113_c0_g1,4.57,7.59,61.83,24.93,2.22,67.35
TRINITY_DN101145_c1_g1,0,26.76,2.67,0,0,0
TRINITY_DN101146_c0_g1,0,0,4.17,0,0,2.82
TRINITY_DN10114_c0_g1,28.26,11.18,15.6,32.07,16.58,17.96
TRINITY_DN10114_c1_g1,29.3,42.74,21.36,5.95,17.22,28.07
TRINITY_DN101150_c0_g1,0,0,0,0,0,0
TRINITY_DN101153_c0_g1,37.11,33.75,40.97,18.7,35.96,26.23
TRINITY_DN10115_c0_g1,857.23,509.58,574.62,371.91,315.27,409.5
TRINITY_DN10116_c0_g1,121.02,250.15,202.75,50.14,128.79,204.01
TRINITY_DN101174_c0_g1,0,0,0,3.85,0,0
TRINITY_DN10117_c0_g2,8.37,21.07,10.26,2.8,0,8.03
TRINITY_DN101185_c0_g1,0,0,0,0,0,0
TRINITY_DN10118_c0_g1,4182.15,2987.27,2429.48,2853.26,2438.48,2970.43
TRINITY_DN101194_c1_g1,102.09,36.25,51.73,30.88,103.92,101.12
TRINITY_DN101198_c0_g1,0,0,3.09,0,0,0
TRINITY_DN101199_c0_g1,0,0,0,0,0,0
TRINITY_DN101199_c0_g2,0,0,0,19.75,0,0
TRINITY_DN10119_c0_g1,57.85,53.82,29.7,13.73,15.82,33.64
TRINITY_DN10120_c0_g1,85.82,39.44,37.21,45.31,16.7,79.73
TRINITY_DN10120_c0_g2,27.88,0,0,0,0,33.89
TRINITY_DN101211_c0_g1,0,4.19,0,0,4.5,0
TRINITY_DN101220_c0_g1,0,0,0,21.57,0,0
TRINITY_DN101221_c0_g1,0,0,0,0,0,0
TRINITY_DN101223_c0_g1,0,0,0,0.98,0,0
TRINITY_DN101227_c0_g1,0,0,0,0,0,0
TRINITY_DN101227_c0_g2,0,0,0,0,0,0
TRINITY_DN101228_c0_g1,0,0,0,0,0,0
TRINITY_DN10122_c0_g1,183.05,135.81,225.94,146.22,91.66,127.47
TRINITY_DN101232_c0_g1,0,0,0,0,0,0
TRINITY_DN101233_c0_g1,0,0,0,0,0,0
TRINITY_DN101237_c0_g1,1.33,0,0,0,2.57,0
TRINITY_DN101237_c0_g2,1.24,2.3,9.43,1.33,6.31,0
TRINITY_DN10123_c0_g1,0,0,0,0,0,0
TRINITY_DN101241_c0_g1,0,0,0,16.95,0,0
TRINITY_DN101245_c0_g1,0,0.3,0.67,95.94,2.04,0.37
TRINITY_DN101246_c0_g1,0,0,0,0,0,0
TRINITY_DN101248_c0_g1,0,0,0,0,0,0
TRINITY_DN101248_c0_g2,2.66,2.4,0,0,7.82,0
TRINITY_DN101250_c0_g1,0,0,0,0,0,0
TRINITY_DN101252_c0_g1,0,3.2,0,0,0,0
TRINITY_DN101254_c0_g1,31.68,0,0,12.81,6.19,24.02
TRINITY_DN101255_c0_g1,0,0,0,24.58,0,0
TRINITY_DN101258_c0_g1,0,0,0,0,0,0
TRINITY_DN10125_c0_g1,30.83,27.96,37.63,48.88,61.94,25.25
TRINITY_DN10125_c0_g2,0.57,9.09,5.09,0.56,6.54,1.04
TRINITY_DN10125_c0_g3,49.09,114.94,76.84,19.68,53.42,32.97
TRINITY_DN101261_c0_g1,0,0,0,0,0,0
TRINITY_DN101264_c0_g1,0.38,0,0,45.66,0,0
TRINITY_DN101266_c0_g1,0,0,0,11.69,0,0
TRINITY_DN10126_c0_g1,2.19,12.18,11.43,9.31,2.28,0
TRINITY_DN101271_c0_g1,0,0,0,29.06,0,0
TRINITY_DN101277_c0_g1,0,0,0,0,0,0
TRINITY_DN101279_c0_g1,0,0,7.01,0,0,0
TRINITY_DN10127_c0_g1,13.8,28.96,0,5839.92,24.4,38.55
TRINITY_DN101281_c0_g1,0,0,0,0,0,0
TRINITY_DN101283_c0_g1,0,0,0,0,0,0
TRINITY_DN101287_c0_g1,0,0,0,0,0,0
