,CAS1_C0,CAS2_C0,CAS3_C0,LOP1_C0,LOP2_C0,LOP5_C0
CORRUBR2A018303,562,133,160,285,288,313
CORRUBR2A018304,613,344,1102,680,626,256
CORRUBR2A018305,94,61,88,24,131,71
CORRUBR2A018307,357,111,58,147,123,143
CORRUBR2A018309,423,299,239,323,484,520
CORRUBR2A018310,764,393,409,251,295,251
CORRUBR2A018311,570,664,1013,381,350,318
CORRUBR2A018312,858,335,360,241,235,201
CORRUBR2A018314,127,40,32,19,33,26
CORRUBR2A018316,31,17,5,9,12,7
CORRUBR2A018317,166,17,18,2,0,8
CORRUBR2A018318,174,71,52,56,59,22
CORRUBR2A018319,18,26,8,22,30,16
CORRUBR2A018321,102,36,99,73,119,68
CORRUBR2A018326,134,197,109,43,29,47
CORRUBR2A018327,20,5,1,12,1,7
CORRUBR2A018329,2,8,4,0,2,6
CORRUBR2A018332,117,66,58,61,0,41
CORRUBR2A018333,6,11,8,2,6,6
CORRUBR2A018335,102,242,123,263,138,190
CORRUBR2A018337,554,653,550,947,577,126
CORRUBR2A018340,6,4,0,9,8,11
CORRUBR2A018341,1,127,118,22,143,1
CORRUBR2A018342,1251,1023,2371,800,868,829
CORRUBR2A018344,449,321,189,219,274,213
CORRUBR2A018349,2238,1016,2273,1090,1153,1856
CORRUBR2A018351,9,5,6,12,5,3
CORRUBR2A018354,12,5,0,4,2,0
CORRUBR2A018357,2612,3184,3841,1395,982,1139
CORRUBR2A018359,378,219,145,132,113,110
CORRUBR2A018360,556,266,145,130,137,101
CORRUBR2A018362,32,90,73,5,18,51
CORRUBR2A018364,602,538,847,309,457,387
CORRUBR2A018368,428,373,231,281,304,394
CORRUBR2A018370,7517,8007,8165,4397,4644,5796
CORRUBR2A018379,147,154,106,60,137,306
CORRUBR2A018383,28,22,20,18,31,19
CORRUBR2A018385,605,508,231,332,408,400
CORRUBR2A018386,627,341,93,174,285,356
CORRUBR2A018387,98,73,26,36,42,29
CORRUBR2A018390,111,140,97,250,172,109
CORRUBR2A018393,723,819,532,587,663,653
CORRUBR2A018394,365,126,105,113,115,116
CORRUBR2A018395,1,363,78,149,148,65
CORRUBR2A018397,138,68,62,45,79,62
CORRUBR2A018398,38,65,60,18,18,18
CORRUBR2A018400,205,151,220,126,138,242
CORRUBR2A018402,655,200,134,322,274,221
CORRUBR2A018403,15,12,30,9,9,11
CORRUBR2A018405,426,282,381,306,190,175
CORRUBR2A018409,136,192,274,140,207,140
CORRUBR2A018410,13,15,1,19,3,13
CORRUBR2A018411,222,191,189,76,99,150
CORRUBR2A018412,28,44,18,10,25,14
CORRUBR2A018414,564,744,297,336,583,328
CORRUBR2A018415,411,103,91,56,47,81
CORRUBR2A018417,81,53,154,86,132,87
CORRUBR2A018418,68,114,56,30,77,67
CORRUBR2A018420,108,70,41,205,101,98
CORRUBR2A018421,5,1,8,1,3,4
CORRUBR2A018426,10,9,154,0,8,67
CORRUBR2A018427,842,909,1058,768,669,653
CORRUBR2A018431,1442,1033,1059,614,795,832
CORRUBR2A018432,7,8,15,5,32,7
CORRUBR2A018436,2170,8873,8505,3562,5,5331
CORRUBR2A018439,3,4,8,1,11,4
CORRUBR2A018440,13,55,51,17,21,31
CORRUBR2A018442,642,457,301,250,384,363
CORRUBR2A018444,80,19,7,16,10,8
CORRUBR2A018446,931,1255,1223,550,1013,1176
CORRUBR2A018447,952,824,392,587,869,333
CORRUBR2A018448,88,94,45,58,110,57
CORRUBR2A018449,774,678,295,419,626,212
CORRUBR2A018453,257,170,101,140,119,115
CORRUBR2A018454,215,61,49,51,91,107
CORRUBR2A018456,575,74,34,55,66,25
CORRUBR2A018459,847,448,298,270,164,651
CORRUBR2A018461,45,7,5,19,16,10
CORRUBR2A018462,707,590,379,500,457,418
CORRUBR2A018464,180,71,33,69,78,81
CORRUBR2A018466,48,34,12,39,34,19
CORRUBR2A018469,65,24,17,19,41,37
CORRUBR2A018470,45,0,31,26,1,6
CORRUBR2A018471,17,4,1,6,4,9
CORRUBR2A018473,104,40,43,61,66,48
CORRUBR2A018475,152,58,22,47,22,36
CORRUBR2A018477,32,107,81,6,93,13
CORRUBR2A018478,168,151,66,94,85,99
CORRUBR2A018482,611,483,312,258,382,503
CORRUBR2A018484,72,108,45,15,66,59
CORRUBR2A018485,75,40,80,10,146,61
CORRUBR2A018486,205,379,400,98,189,437
CORRUBR2A018487,127,215,156,128,172,202
CORRUBR2A018489,206,377,221,105,119,235
CORRUBR2A018490,286,156,82,116,161,160
CORRUBR2A018492,188,108,75,125,101,165
CORRUBR2A018493,2308,2127,2870,2118,2068,2119
CORRUBR2A018496,355,351,154,275,342,152
CORRUBR2A018498,347,240,480,172,219,195
CORRUBR2A018502,45,33,24,11,18,12
CORRUBR2A018503,204,275,85,70,111,93
CORRUBR2A018508,2,13,7,16,7,5
CORRUBR2A018509,673,588,357,382,392,398
CORRUBR2A018510,896,683,527,650,563,619
CORRUBR2A018511,9,10,14,19,8,31
CORRUBR2A018514,9,20,5,15,13,32
CORRUBR2A018515,786,751,622,546,673,690
CORRUBR2A018517,850,590,601,602,857,749
CORRUBR2A018518,757,101,82,164,153,107
CORRUBR2A018519,9,5,3,3,6,7
CORRUBR2A018521,505,500,474,394,469,384
CORRUBR2A018522,83,101,59,38,90,80
CORRUBR2A018523,197,413,238,253,292,466
CORRUBR2A018525,249,146,97,88,131,157
CORRUBR2A018526,379,229,235,169,316,611
CORRUBR2A018528,0,1,3,3,19,0
CORRUBR2A018530,127,149,529,46,69,48
CORRUBR2A018533,223,280,259,206,253,202
CORRUBR2A018536,128,98,53,59,50,80
CORRUBR2A018538,100,76,84,54,76,92
CORRUBR2A018541,1870,98,36,229,238,125
CORRUBR2A018542,35,12,6,11,8,5
CORRUBR2A018545,54,45,33,54,21,41
CORRUBR2A018546,86,41,53,44,39,63
CORRUBR2A018548,238,103,38,218,64,73
CORRUBR2A018550,29,49,44,43,31,30
CORRUBR2A018552,35,18,56,2,8,2
CORRUBR2A018553,17,26,11,18,17,12
CORRUBR2A018554,733,1023,1030,609,783,722
CORRUBR2A018556,79,91,87,105,67,65
CORRUBR2A018557,0,2,0,0,2,3
CORRUBR2A018558,703,592,885,294,579,434
CORRUBR2A018560,12,19,15,15,30,36
CORRUBR2A018561,0,0,0,8,0,20
CORRUBR2A018563,759,489,357,317,295,190
CORRUBR2A018566,46,62,91,93,58,95
CORRUBR2A018568,29,36,22,14,55,41
CORRUBR2A018570,1322,358,177,176,230,228
CORRUBR2A018574,4,177,242,348,5,154
CORRUBR2A018575,156,103,49,75,108,89
CORRUBR2A018576,2752,2793,2573,2363,1878,1973
CORRUBR2A018577,3669,3930,3292,3134,3137,3556
CORRUBR2A018581,623,1103,544,249,471,369
CORRUBR2A018585,31,56,19,12,5,16
CORRUBR2A018588,3,13,0,2,0,4
CORRUBR2A018589,127,78,38,82,117,78
CORRUBR2A018590,420,608,606,5,456,3
CORRUBR2A018591,137,40,0,1,2,10
CORRUBR2A018593,174,59,57,53,70,80
CORRUBR2A018598,75,79,73,36,68,60
CORRUBR2A018600,18,22,0,26,12,6
CORRUBR2A018603,107,54,84,71,93,126
CORRUBR2A018605,382,259,250,165,287,404
CORRUBR2A018606,212,75,51,74,60,39
CORRUBR2A018608,29,20,17,28,8,20
CORRUBR2A018611,75,56,21,21,32,20
CORRUBR2A018614,3945,2968,3753,1917,1829,2375
CORRUBR2A018617,730,316,1509,926,679,839
CORRUBR2A018620,700,1055,518,373,667,597
CORRUBR2A018622,364,116,46,195,138,116
CORRUBR2A018624,657,456,549,270,360,361
CORRUBR2A018627,359,420,306,339,426,451
CORRUBR2A018628,423,34,13,70,53,24
CORRUBR2A018631,827,739,641,511,572,469
CORRUBR2A018632,0,1,2,0,236,0
CORRUBR2A018634,218,280,175,108,172,159
CORRUBR2A018640,130,378,76,245,140,299
CORRUBR2A018646,248,394,261,160,253,232
CORRUBR2A018648,55,62,74,31,57,58
CORRUBR2A018650,33,32,220,64,8,23
CORRUBR2A018653,190,133,109,145,174,158
CORRUBR2A018655,9289,11246,10453,7386,8904,6518
CORRUBR2A018657,138,282,145,93,127,127
CORRUBR2A018660,8,15,17,12,23,18
CORRUBR2A018662,6,1,2,6,10,5
CORRUBR2A018663,48,29,18,27,106,44
CORRUBR2A018666,508,556,329,172,312,496
CORRUBR2A018668,382,643,347,330,601,703
CORRUBR2A018669,3,10,0,4,5,4
CORRUBR2A018671,91,114,48,81,59,104
CORRUBR2A018674,644,475,413,410,419,357
CORRUBR2A018689,13,38,104,14,102,69
CORRUBR2A018693,91,70,42,55,58,44
CORRUBR2A018694,44,14,11,14,22,3
CORRUBR2A018696,330,93,77,185,127,158
CORRUBR2A018700,2657,2544,3508,2130,1385,1393
CORRUBR2A018701,634,580,309,327,497,267
CORRUBR2A018705,4267,4414,4087,3030,1982,3102
CORRUBR2A018707,338,666,420,199,305,459
CORRUBR2A018708,403,281,187,120,416,423
CORRUBR2A018710,65,14,14,27,49,30
CORRUBR2A018712,9,2,3,1,0,38
CORRUBR2A018713,379,176,108,136,116,141
CORRUBR2A018714,853,812,464,447,536,455
CORRUBR2A018715,300,41,207,265,113,31
CORRUBR2A018717,468,983,379,262,626,433
CORRUBR2A018719,21141,23503,36099,9043,8579,12849
CORRUBR2A018722,437,124,113,107,114,122
CORRUBR2A018723,12464,18858,21902,5646,8583,11946
CORRUBR2A018725,15767,27324,11871,4781,3034,1211
CORRUBR2A018727,1,8,4,8,0,14
CORRUBR2A018728,295,31,38,42,70,85
CORRUBR2A018729,148,345,842,677,158,539
CORRUBR2A018731,8,0,7,0,1,3
CORRUBR2A018734,2644,1800,1997,1906,1457,1505
CORRUBR2A018735,28,32,12,49,57,14
CORRUBR2A018737,194,131,131,105,80,228
CORRUBR2A018739,322,208,367,180,258,175
CORRUBR2A018741,1,2,3,12,10,5
CORRUBR2A018742,1199,499,298,595,559,484
CORRUBR2A018745,27,24,20,6,16,2
CORRUBR2A018747,545,638,300,435,611,700
CORRUBR2A018748,45,176,98,90,127,79
CORRUBR2A018749,7,27,8,20,9,15
CORRUBR2A018753,686,463,590,363,580,567
CORRUBR2A018758,286,253,121,151,315,303
CORRUBR2A018761,552,186,55,183,194,152
CORRUBR2A018764,1898,1097,603,1145,1421,1603
CORRUBR2A018765,1192,1593,1538,453,629,581
CORRUBR2A018767,56,107,73,44,621,70
CORRUBR2A018768,630,478,430,463,416,585
CORRUBR2A018769,13,25,26,19,17,26
CORRUBR2A018770,152,56,37,55,62,68
CORRUBR2A018771,43,34,18,46,38,42
CORRUBR2A018772,789,1461,2916,565,815,692
CORRUBR2A018775,177,101,134,85,118,86
CORRUBR2A018776,54,53,14,46,38,34
CORRUBR2A018778,123,47,32,35,73,57
CORRUBR2A018779,15,36,27,15,0,0
CORRUBR2A018780,4858,4556,5156,2210,3053,3338
CORRUBR2A018781,412,368,380,651,250,598
CORRUBR2A018784,20,2,0,1,13,26
CORRUBR2A018785,57,49,59,60,74,44
CORRUBR2A018787,41,78,24,82,105,147
CORRUBR2A018789,754,553,452,437,545,621
CORRUBR2A018790,649,720,535,442,538,579
CORRUBR2A018791,0,0,9,0,4,10
CORRUBR2A018792,735,320,321,149,228,258
CORRUBR2A018796,111,72,56,114,100,79
CORRUBR2A018797,62,96,51,46,141,63
CORRUBR2A018799,125,19,240,26,37,112
CORRUBR2A018801,141,100,64,184,301,58
CORRUBR2A018802,29,38,23,16,32,43
CORRUBR2A018803,101,11,8,0,56,62
CORRUBR2A018804,7,10,36,27,1,0
CORRUBR2A018809,98,132,50,30,53,72
CORRUBR2A018812,353,173,99,175,170,163
CORRUBR2A018813,91,78,33,76,129,80
CORRUBR2A018815,2,7,0,5,1,1
CORRUBR2A018816,2137,2363,814,713,340,382
CORRUBR2A018817,1,0,2,2,5,2
CORRUBR2A018818,14,13,22,20,22,10
CORRUBR2A018820,0,1,3,11,0,7
CORRUBR2A018821,422,353,451,245,286,322
CORRUBR2A018823,51,9,97,60,6,15
CORRUBR2A018824,200,47,33,47,49,70
CORRUBR2A018827,140,43,45,58,68,59
CORRUBR2A018828,50,21,23,11,24,12
CORRUBR2A018834,609,679,417,595,467,516
CORRUBR2A018836,525,274,157,203,165,159
CORRUBR2A018838,9717,10209,6646,6930,5307,6245
CORRUBR2A018840,36,15,37,47,64,44
CORRUBR2A018843,527,557,353,276,454,239
CORRUBR2A018846,405,301,97,259,284,178
CORRUBR2A018847,402,85,130,159,150,134
CORRUBR2A018849,579,473,197,364,321,373
CORRUBR2A018850,372,188,85,151,108,82
CORRUBR2A018851,99,65,34,39,29,31
CORRUBR2A018852,293,324,163,151,258,165
CORRUBR2A018853,1613,1387,1831,478,708,1420
CORRUBR2A018857,1843,1517,1665,1622,1587,1763
CORRUBR2A018859,319,162,114,210,192,263
CORRUBR2A018860,191,98,98,88,111,103
CORRUBR2A018861,9,5,35,5,24,2
CORRUBR2A018863,9,0,3,7,0,1
CORRUBR2A018867,12,31,144,11,33,52
CORRUBR2A018869,14,49,8,7,0,30
CORRUBR2A018871,12,12,0,10,7,9
CORRUBR2A018875,593,253,566,236,383,684
CORRUBR2A018877,520,1214,333,504,438,534
CORRUBR2A018878,66,39,68,75,66,29
CORRUBR2A018880,2,12,2,4,3,4
CORRUBR2A018881,387,334,286,314,338,385
CORRUBR2A018884,528,185,137,136,379,173
CORRUBR2A018885,6495,6663,2724,3506,4723,2202
CORRUBR2A018887,267,119,104,93,94,101
CORRUBR2A018889,34,40,5,0,0,5
CORRUBR2A018890,50,42,23,29,48,66
CORRUBR2A018896,824,535,334,370,433,538
CORRUBR2A018897,426,109,116,133,171,163
CORRUBR2A018898,627,468,291,379,569,369
CORRUBR2A018903,286,0,0,75,25,0
CORRUBR2A018906,12,5,16,9,21,31
CORRUBR2A018907,0,0,1,0,41,9
CORRUBR2A018908,3037,2944,2468,2168,2657,2322
CORRUBR2A018909,234,785,452,261,171,256
CORRUBR2A018911,13,28,23,8,20,8
CORRUBR2A018914,419,0,164,161,439,258
CORRUBR2A018915,54,29,24,23,31,18
CORRUBR2A018917,954,1182,803,714,673,720
CORRUBR2A018918,0,50,0,27,44,65
CORRUBR2A018919,0,0,0,7,8,29
CORRUBR2A018921,12,23,1,7,13,31
CORRUBR2A018924,222,119,67,26,64,42
CORRUBR2A018925,61,2,0,2,1,10
CORRUBR2A018926,56,6,5,8,22,18
CORRUBR2A018927,51,25,16,3,93,12
CORRUBR2A018931,107,86,88,87,116,86
CORRUBR2A018933,15,0,2,50,83,7
CORRUBR2A018934,51,58,88,31,32,41
CORRUBR2A018939,28,163,26,43,39,73
CORRUBR2A018940,7,11,0,5,7,23
CORRUBR2A018941,38,3,1,4,6,10
CORRUBR2A018942,14,8,1,14,3,10
CORRUBR2A018943,25,39,31,30,28,52
CORRUBR2A018946,36,15,3,7,21,5
CORRUBR2A018948,131,115,110,65,165,105
CORRUBR2A018949,880,551,465,307,397,307
CORRUBR2A018950,31,38,25,71,55,35
CORRUBR2A018951,761,470,415,365,274,308
CORRUBR2A018953,956,1578,1559,357,890,519
CORRUBR2A018955,13,22,21,3,1,16
CORRUBR2A018957,145,78,40,38,48,50
CORRUBR2A018959,23,7,6,0,3,6
CORRUBR2A018962,136,77,53,66,30,19
CORRUBR2A018964,1344,1059,698,731,765,713
CORRUBR2A018965,249,198,350,78,168,146
CORRUBR2A018967,394,395,188,238,210,202
CORRUBR2A018968,4234,4377,3088,2367,5880,5091
CORRUBR2A018972,10,6,5,10,18,5
CORRUBR2A018974,604,190,166,106,93,229
CORRUBR2A018975,2,3,0,28,12,2
CORRUBR2A018978,3340,190,65,587,467,225
CORRUBR2A018982,180,350,322,217,254,226
CORRUBR2A018983,695,318,280,108,165,242
CORRUBR2A018985,4,4,2,5,5,8
CORRUBR2A018987,38,33,12,7,7,11
CORRUBR2A018989,0,0,0,39,0,1
CORRUBR2A018992,284,115,123,170,161,143
CORRUBR2A018994,14,0,0,14,0,0
CORRUBR2A018995,12,15,19,34,21,28
CORRUBR2A018996,258,170,109,107,102,79
CORRUBR2A018999,1662,979,1416,1321,992,1053
CORRUBR2A019002,101,61,4,141,57,95
CORRUBR2A019003,487,348,327,227,219,239
CORRUBR2A019005,1452,837,843,1627,1464,1588
CORRUBR2A019006,751,614,546,390,451,452
CORRUBR2A019007,3,9,0,3,7,20
CORRUBR2A019010,25680,30745,39726,20391,13795,13259
CORRUBR2A019011,25,10,0,3,2,3
CORRUBR2A019012,10,4,25,7,17,5
CORRUBR2A019013,999,709,337,458,432,596
CORRUBR2A019016,1670,1851,1973,1097,1126,1019
CORRUBR2A019018,1257,633,952,380,425,395
CORRUBR2A019019,104,123,308,14,0,1
CORRUBR2A019022,381,162,155,215,353,185
CORRUBR2A019023,46,16,58,20,28,23
CORRUBR2A019025,403,306,231,360,522,664
CORRUBR2A019029,23,31,40,21,9,14
CORRUBR2A019030,213,183,69,90,72,82
CORRUBR2A019033,107,140,55,202,178,96
CORRUBR2A019034,810,381,292,294,269,262
CORRUBR2A019035,151,207,136,95,103,68
CORRUBR2A019041,1539,713,528,485,479,403
CORRUBR2A019045,876,520,200,483,747,342
CORRUBR2A019047,142,23,0,50,2,30
CORRUBR2A019049,99,44,69,39,46,26
CORRUBR2A019050,2359,1005,1540,794,1063,1009
CORRUBR2A019052,91,67,0,10,23,124
CORRUBR2A019055,51,80,92,72,106,75
CORRUBR2A019058,4,3,0,7,10,9
CORRUBR2A019059,5,1,5,12,13,9
CORRUBR2A019060,2,0,5,0,2,0
CORRUBR2A019061,330,153,64,136,390,165
CORRUBR2A019063,388,162,277,214,97,107
CORRUBR2A019067,241,161,134,109,105,125
CORRUBR2A019068,0,0,0,1,12,0
CORRUBR2A019069,178,151,49,77,89,43
CORRUBR2A019070,1,2,0,0,0,0
CORRUBR2A019072,120,44,0,69,55,55
CORRUBR2A019073,8,4,7,14,0,12
CORRUBR2A019074,9,10,4,3,10,1
CORRUBR2A019075,1694,1281,1180,950,930,837
CORRUBR2A019078,5,0,0,9,0,0
CORRUBR2A019080,398,223,205,232,185,186
CORRUBR2A019081,58,71,54,54,90,103
CORRUBR2A019082,130,63,54,61,47,68
CORRUBR2A019085,2,88,13,3,1,0
CORRUBR2A019086,80,74,35,62,61,72
CORRUBR2A019087,0,0,0,0,0,0
CORRUBR2A019088,1255,1079,734,412,817,533
CORRUBR2A019092,5129,5568,3751,2666,3310,2946
CORRUBR2A019093,11,0,1,0,0,0
CORRUBR2A019095,440,201,56,190,129,112
CORRUBR2A019096,1103,1272,818,496,751,1072
CORRUBR2A019097,135,197,103,82,103,80
CORRUBR2A019098,47,35,12,23,50,32
CORRUBR2A019101,2680,2324,1520,1981,1669,1943
CORRUBR2A019103,7,11,4,6,7,8
CORRUBR2A019104,2301,2273,2319,1429,1771,1321
CORRUBR2A019106,32,22,2,9,25,6
CORRUBR2A019108,96,46,6,40,59,46
CORRUBR2A019110,13,27,4,3,10,35
CORRUBR2A019112,8,20,15,25,32,40
CORRUBR2A019115,1344,1226,430,349,442,590
CORRUBR2A019119,2201,4028,2747,2703,2444,2300
CORRUBR2A019120,411,264,196,177,158,133
CORRUBR2A019121,1875,326,320,339,292,249
CORRUBR2A019122,4858,4113,3439,4359,3410,4488
CORRUBR2A019123,257,236,90,126,139,109
CORRUBR2A019124,18,0,13,11,31,0
CORRUBR2A019126,269,354,166,223,175,294
CORRUBR2A019128,7,0,18,3,2,5
CORRUBR2A019134,116,79,65,64,57,27
CORRUBR2A019135,272,180,187,30,96,21
CORRUBR2A019136,9,16,19,3,14,4
CORRUBR2A019138,35,0,0,1,1,4
CORRUBR2A019141,255,259,336,361,117,247
CORRUBR2A019142,16,17,24,0,33,0
CORRUBR2A019143,195,69,49,86,21,38
CORRUBR2A019144,10,8,21,14,11,14
CORRUBR2A019147,371,714,662,315,449,502
CORRUBR2A019149,26,13,33,19,13,21
CORRUBR2A019151,286,321,319,252,324,440
CORRUBR2A019152,398,367,200,592,448,246
CORRUBR2A019155,25,24,16,19,20,27
CORRUBR2A019156,611,361,237,290,377,482
CORRUBR2A019157,106,39,12,45,57,58
CORRUBR2A019160,23,2,23,6,13,7
CORRUBR2A019161,308,234,191,177,200,175
CORRUBR2A019166,41,38,13,11,25,25
CORRUBR2A019167,191,98,52,57,98,47
CORRUBR2A019168,78,43,73,0,0,0
CORRUBR2A019172,2131,1328,981,954,1237,1047
CORRUBR2A019174,281,155,139,144,120,124
CORRUBR2A019176,59,7,3,2,14,21
CORRUBR2A019180,32,16,10,54,33,16
CORRUBR2A019181,145,77,69,106,105,83
CORRUBR2A019186,1055,805,757,571,537,576
CORRUBR2A019188,8,6,4,7,4,3
CORRUBR2A019190,2,4,2,1,3,0
CORRUBR2A019191,3,5,1,18,4,0
CORRUBR2A019193,7035,4061,4140,2924,3061,3776
CORRUBR2A019197,175,95,64,83,172,89
CORRUBR2A019198,122,52,47,34,48,28
CORRUBR2A019200,43,0,0,2,2,0
CORRUBR2A019205,189,129,92,178,145,122
CORRUBR2A019211,220,309,366,67,252,186
CORRUBR2A019215,944,1031,1442,359,514,346
CORRUBR2A019217,102,179,96,130,119,131
CORRUBR2A019219,50,58,22,79,55,78
CORRUBR2A019222,392,192,136,159,259,200
CORRUBR2A019225,1665,1114,809,1152,893,965
CORRUBR2A019227,3441,2017,2831,1335,1180,1164
CORRUBR2A019229,20,51,22,18,20,14
CORRUBR2A019230,159,67,74,55,77,51
CORRUBR2A019233,19,64,26,12,11,12
CORRUBR2A019237,34,32,53,16,19,26
CORRUBR2A019240,338,181,236,221,187,190
CORRUBR2A019241,23,9,19,2,14,11
CORRUBR2A019244,4,0,74,1,0,1
CORRUBR2A019247,2,5,7,7,19,0
CORRUBR2A019248,4,19,0,11,7,20
CORRUBR2A019249,759,386,201,149,393,285
CORRUBR2A019251,570,525,533,270,320,385
CORRUBR2A019252,109,94,31,88,44,94
CORRUBR2A019257,942,689,346,589,843,723
CORRUBR2A019258,0,0,189,0,0,0
CORRUBR2A019261,767,1380,477,454,1216,663
CORRUBR2A019264,683,427,509,167,174,130
CORRUBR2A019269,47,27,30,21,88,23
CORRUBR2A019270,205,130,111,159,132,113
CORRUBR2A019271,80,46,68,32,51,67
CORRUBR2A019274,86,170,154,240,148,193
CORRUBR2A019281,638,682,433,297,321,387
CORRUBR2A019284,2814,2285,4563,1279,852,1488
CORRUBR2A019285,2,6,13,2,0,14
CORRUBR2A019287,71,69,18,19,48,54
CORRUBR2A019288,229,155,122,152,149,152
CORRUBR2A019290,366,138,91,72,129,106
CORRUBR2A019291,2767,2702,3347,1422,1437,1925
CORRUBR2A019295,94,121,76,66,59,102
CORRUBR2A019299,79,36,30,18,33,63
CORRUBR2A019302,681,647,455,484,776,850
CORRUBR2A019303,521,241,246,224,303,306
CORRUBR2A019306,35,23,19,17,19,16
CORRUBR2A019307,7332,12384,9150,6070,6277,5888
CORRUBR2A019308,0,15,3,2,0,0
CORRUBR2A019310,1438,561,693,691,859,616
CORRUBR2A019313,248,195,81,124,498,139
CORRUBR2A019314,37,32,33,66,31,36
CORRUBR2A019317,685,1034,775,516,752,843
CORRUBR2A019318,1,5,4,0,13,2
CORRUBR2A019321,8030,8124,7418,8206,6251,5163
CORRUBR2A019323,673,333,357,122,328,159
CORRUBR2A019324,209,197,133,152,247,182
CORRUBR2A019327,78,58,38,33,31,31
CORRUBR2A019328,24,189,195,89,38,18
CORRUBR2A019329,0,7,0,18,5,34
CORRUBR2A019333,1104,2031,2334,1083,891,1929
CORRUBR2A019335,818,1259,919,739,455,743
CORRUBR2A019338,201,39,20,39,34,17
CORRUBR2A019340,90,44,21,109,75,58
CORRUBR2A019341,93,107,60,59,60,65
CORRUBR2A019344,0,9,0,6,0,1
CORRUBR2A019345,277,304,214,246,189,149
CORRUBR2A019346,988,245,87,203,212,164
CORRUBR2A019347,648,411,375,441,400,431
CORRUBR2A019348,30384,41475,33701,22058,18975,20375
CORRUBR2A019349,0,11,1,0,0,0
CORRUBR2A019352,2,2,5,0,21,2
CORRUBR2A019356,863,1158,764,280,499,523
CORRUBR2A019359,1122,1066,515,588,629,720
CORRUBR2A019360,8,19,5,14,22,12
CORRUBR2A019363,126,67,120,177,78,74
CORRUBR2A019365,431,440,392,210,194,190
CORRUBR2A019367,1513,1220,2093,684,730,758
CORRUBR2A019369,454,67,207,54,78,47
CORRUBR2A019374,8,0,39,25,6,5
CORRUBR2A019376,10,10,0,2,3,2
CORRUBR2A019380,75,88,125,0,0,46
CORRUBR2A019383,848,210,336,332,300,221
CORRUBR2A019385,30,42,28,19,28,19
CORRUBR2A019388,410,333,295,367,197,161
CORRUBR2A019390,126,44,84,27,15,78
CORRUBR2A019392,54,44,39,14,51,51
CORRUBR2A019398,6,0,4,5,15,5
CORRUBR2A019404,0,5,0,48,0,0
CORRUBR2A019408,0,0,47,3,0,5
CORRUBR2A019409,7,31,7,2,3,14
CORRUBR2A019411,2499,2113,1882,1364,1637,1514
CORRUBR2A019413,440,225,241,248,203,323
CORRUBR2A019415,1,8,0,0,0,1
CORRUBR2A019418,243,247,168,183,102,188
CORRUBR2A019423,0,36,15,13,0,24
CORRUBR2A019425,425,234,373,291,385,308
CORRUBR2A019426,164,88,75,64,78,92
CORRUBR2A019429,404,429,217,340,249,279
CORRUBR2A019430,52,95,59,65,74,71
CORRUBR2A019431,21,142,421,11,25,21
CORRUBR2A019436,61,23,0,0,15,23
CORRUBR2A019441,9,12,9,5,18,17
CORRUBR2A019442,1452,1123,1180,476,1290,1120
CORRUBR2A019443,243,139,18,20,158,116
CORRUBR2A019444,316,219,176,168,197,219
CORRUBR2A019446,742,69,62,150,90,74
CORRUBR2A019447,215,166,87,96,87,102
CORRUBR2A019450,8,54,60,10,8,13
CORRUBR2A019454,0,0,0,0,1,39
CORRUBR2A019455,847,538,542,447,592,748
CORRUBR2A019457,19,13,7,7,19,13
CORRUBR2A019458,1592,1579,1221,1041,848,915
CORRUBR2A019461,1983,2257,1900,1468,2689,2512
CORRUBR2A019463,14,2,2,1,15,1
CORRUBR2A019466,763,977,545,451,633,369
CORRUBR2A019469,90,44,24,93,51,35
CORRUBR2A019471,319,301,409,326,165,338
CORRUBR2A019475,0,6,1,1,5,19
CORRUBR2A019476,347,342,254,217,418,157
CORRUBR2A019480,238,67,61,90,109,105
CORRUBR2A019481,291,132,143,100,109,105
CORRUBR2A019482,31,11,7,15,19,17
CORRUBR2A019485,1303,562,401,411,679,245
CORRUBR2A019486,128,0,66,12,0,22
CORRUBR2A019489,1051,598,349,305,390,496
CORRUBR2A019491,44,62,10,55,30,23
CORRUBR2A019493,145,15,23,12,42,5
CORRUBR2A019494,4,6,20,19,9,3
CORRUBR2A019496,2274,1853,1856,1549,1703,1419
CORRUBR2A019498,183,165,122,184,437,320
CORRUBR2A019499,1279,1657,1000,557,746,683
CORRUBR2A019500,312,268,394,156,181,201
CORRUBR2A019501,65,54,29,41,64,59
CORRUBR2A019505,580,384,245,275,441,546
CORRUBR2A019519,311,524,179,358,192,182
CORRUBR2A019520,639,526,408,541,554,388
CORRUBR2A019521,6,17,5,8,5,23
CORRUBR2A019522,139,87,116,159,76,41
CORRUBR2A019525,7,13,3,1,6,8
CORRUBR2A019528,578,455,563,243,435,758
CORRUBR2A019529,185,132,78,123,148,93
CORRUBR2A019536,514,461,361,319,286,274
CORRUBR2A019538,79,137,128,46,122,141
CORRUBR2A019539,5,0,0,0,34,39
CORRUBR2A019541,359,606,639,314,307,268
CORRUBR2A019542,343,567,545,183,378,400
CORRUBR2A019545,1432,424,177,444,355,583
CORRUBR2A019547,20,11,4,1,3,17
CORRUBR2A019551,420,420,581,302,319,331
CORRUBR2A019552,192,53,42,177,102,89
CORRUBR2A019554,542,435,244,297,378,354
