,CAS1_C0,CAS2_C0,CAS3_C0,LOP1_C0,LOP2_C0,LOP5_C0
CORRUBR2A000756,384,361,103,258,300,170
CORRUBR2A000763,235,398,275,212,311,479
CORRUBR2A000766,263,177,465,62,79,60
CORRUBR2A000769,462,363,401,151,257,225
CORRUBR2A000770,548,432,798,140,161,126
CORRUBR2A000771,45,112,48,99,93,120
CORRUBR2A000772,511,311,208,130,163,189
CORRUBR2A000773,311,235,221,252,186,162
CORRUBR2A000776,35,11,8,12,26,24
CORRUBR2A000777,182,114,116,138,209,131
CORRUBR2A000779,244,284,231,349,243,288
CORRUBR2A000785,350,235,323,176,240,181
CORRUBR2A000789,39,56,47,14,24,6
CORRUBR2A000791,2,13,0,3,2,15
CORRUBR2A000792,66,107,75,43,50,84
CORRUBR2A000794,31,7,15,11,9,33
CORRUBR2A000802,175,107,103,84,118,86
CORRUBR2A000805,368,302,265,377,415,377
CORRUBR2A000806,120,120,81,114,52,75
CORRUBR2A000807,55,18,5,4,10,7
CORRUBR2A000808,1,0,0,6,1,3
CORRUBR2A000811,19,16,7,4,13,3
CORRUBR2A000812,79,43,18,40,61,44
CORRUBR2A000814,301,265,282,222,296,229
CORRUBR2A000816,81,85,177,106,188,26
CORRUBR2A000822,71,117,86,41,0,19
CORRUBR2A000823,569,628,551,457,606,678
CORRUBR2A000824,1467,7352,2307,3121,3131,2158
CORRUBR2A000827,171,184,102,99,90,100
CORRUBR2A000831,1567,994,719,396,568,597
CORRUBR2A000832,733,252,145,285,210,183
CORRUBR2A000839,243,183,158,130,157,194
CORRUBR2A000843,23,17,45,20,31,17
CORRUBR2A000844,106,5,28,23,34,37
CORRUBR2A000847,2040,1470,1492,1094,1165,1148
CORRUBR2A000848,34,90,59,37,86,100
CORRUBR2A000850,463,323,293,348,212,378
CORRUBR2A000854,430,382,252,257,275,335
CORRUBR2A000856,2614,2826,3260,2000,1943,1766
CORRUBR2A000857,85,31,69,19,33,36
CORRUBR2A000862,1034,1229,892,377,695,638
CORRUBR2A000864,1053,825,669,512,491,566
CORRUBR2A000866,17,4,9,11,11,6
CORRUBR2A000868,429,403,365,227,313,362
CORRUBR2A000869,144,136,85,96,125,83
CORRUBR2A000873,9,8,9,3,8,5
CORRUBR2A000877,101,96,34,78,74,102
CORRUBR2A000879,867,399,345,374,510,429
CORRUBR2A000880,11,15,3,3,3,1
CORRUBR2A000881,96,103,84,105,62,52
CORRUBR2A000883,157,72,65,105,78,70
CORRUBR2A000884,8,31,3,17,7,24
CORRUBR2A000885,228,136,104,115,113,69
CORRUBR2A000887,1,2,15,2,0,5
CORRUBR2A000889,629,776,295,236,305,496
CORRUBR2A000892,1555,1318,769,729,1031,1004
CORRUBR2A000893,95,35,25,20,10,53
CORRUBR2A000895,912,1236,563,510,671,900
CORRUBR2A000897,87,1,133,36,3,62
CORRUBR2A000898,11,20,7,9,10,39
CORRUBR2A000899,1051,528,304,356,342,337
CORRUBR2A000902,48,6,12,28,47,15
CORRUBR2A000903,1955,2697,1439,771,555,800
